"序号","文件名","订单号","图片分组","图片ID","原始路径","来源URL"
"1","0001_451160139529831484620870_img_001.jpg","451160139529831484620870","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139529831484620870\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/24ddc540-9c1e-45df-8ef6-a97aa01ac976.jpg"
"2","0002_451160139529831484620870_img_002.jpg","451160139529831484620870","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139529831484620870\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/31/406d8470-02f3-482a-8100-c2573470a3a6.jpg"
"3","0003_451160139611908951244892_img_001.jpg","451160139611908951244892","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139611908951244892\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/a1a0a14f-8c75-48a2-9c77-5894e7bcfbc0.jpg"
"4","0004_451160139611908951244892_img_002.jpg","451160139611908951244892","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160139611908951244892\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/91c6567a-499b-44e6-8712-d95cbcc52704.jpg"
"5","0005_451160140873102632550472_img_001.png","451160140873102632550472","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160140873102632550472\img_001.png","https://static.jhddsz.com/approval/digital/2026/01/23/bc31cb80-6255-47b4-a4ee-af9883b4ff1b.png"
"6","0006_451160140873102632550472_img_002.jpg","451160140873102632550472","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160140873102632550472\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/23/628da1cf-aa9b-42d4-9afc-24207b04cefc.jpg"
"7","0007_451160141355236222566404_img_001.jpg","451160141355236222566404","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141355236222566404\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/fb2cdb7a-f89d-4a5f-a6b3-c45c19e7bc35.jpg"
"8","0008_451160141355236222566404_img_002.jpg","451160141355236222566404","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141355236222566404\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/e81f6595-cdd9-4d67-9357-e7ed3302ba0d.jpg"
"9","0009_451160141390058147020826_img_001.jpg","451160141390058147020826","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141390058147020826\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/3a19dde2-dad6-4e60-bb8c-dc23de471560.jpg"
"10","0010_451160141390058147020826_img_002.jpg","451160141390058147020826","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141390058147020826\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/857512c6-4d98-49e5-b4bd-af4b459fe6a8.jpg"
"11","0011_451160141423377701273607_img_001.jpg","451160141423377701273607","拆封照片","img_001","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141423377701273607\img_001.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/4d25f7ad-8758-4bb8-a6cb-1b897f3c21b5.jpg"
"12","0012_451160141423377701273607_img_002.jpg","451160141423377701273607","SN码采集 / 激活照片","img_002","C:\Users\HUAWEI\Desktop\audit_robot\data\guobu_api_all_20260708_203001\images\451160141423377701273607\img_002.jpg","https://static.jhddsz.com/approval/digital/2026/01/18/e41c2358-162a-4345-acab-b8e197166793.jpg"
